Open,High,Low,Volume,Chg%
29155,29463,28811,4270,-0.65
30971,31115,30950,7380,0.35
29460,29565,29436,6270,0.36
32088,32330,32088,13820,0.66
30852,30899,30555,9810,-0.73
72999,73199,72470,11130,-0.32
46400,46959,46400,15550,0.14
29861,29982,29582,14160,-1.3
25712,25992,25712,21330,1.24
31671,31818,31619,1580,0.48
30129,30195,29802,11900,-0.6
30054,30054,29835,16550,-0.58
27140,27414,27101,13480,0.66
46299,46640,46209,50,0.65
48132,48200,47786,17250,0.06
77019,77019,75348,27620,-2.42
30588,30604,30408,4320,-0.57
52613,52750,52061,22340,-1.12
75680,76970,75572,1920,0.95
95900,96243,95120,47922,-0.01
47798,47922,47621,15170,0.34
51238,51620,51103,11740,0.7
26962,27076,26880,8530,-0.37
27465,27599,27370,19020,-0.34
33169,33200,32951,10600,-0.5
49470,49569,49157,8850,-0.29
31300,31300,31110,6670,-0.48
27255,27644,27255,12660,0.59
31235,31265,31151,6580,0.28
29230,29468,29116,30840,0.43
29340,29340,28762,21110,-1.75
50980,50980,50501,140,-0.08
29164,29275,28725,15480,-1.24
50580,50715,50442,8270,0.01
28145,28255,28097,7850,-0.23
63057,63122,62223,1250,-1.18
114499,115948,114499,53384,1.82
62300,62676,62271,2620,0.1
52878,53323,52475,28840,0.9
31425,31499,31172,14510,-0.98
30219,30259,29950,8730,-0.68
47200,47610,46974,46860,1.14
77300,77947,77300,16329,0.45
26892,27170,26892,15720,1.02
52248,52384,52129,8400,-0.08
26500,26567,26391,14030,-0.26
26840,26869,26454,40,-0.9
32105,32199,32060,10910,-0.06
29532,29638,29477,920,0.2
47682,47954,47651,12460,-0.01
25199,25442,25110,20140,0.8
97001,97228,96051,38763,-0.77
112643,113900,112500,10439,0.94
38852,39431,38634,1200,1.57
44945,45431,44873,320,0.45
30399,30660,30376,2220,0.44
97397,98052,97150,39705,0.79
31200,31275,31115,7310,0.21
29150,29265,29132,9960,0.14
26691,26749,26621,8060,0.96
46656,47180,46463,47800,0.82
30700,32279,30700,5670,4.63
50900,51296,50900,10,1.14
26509,26623,26340,26750,-0.26
38175,38475,38109,14660,0.86
71710,71770,71010,18480,-0.48
29186,29438,29173,12510,0.82
26190,26209,25918,15490,-0.76
50553,50844,50453,12830,0.21
46767,47630,46767,53470,1.66
60033,60271,59774,11250,-0.08
122280,123108,119500,108115,-2.18
27959,28790,27724,220,1.57
75680,75964,75352,14200,-0.37
24890,25149,24803,40,0.59
50150,50665,50150,36310,1.54
66250,66350,65800,4180,0.27
59124,59125,58981,4270,-0.16
30257,30494,30250,50,0.29
31000,31041,30871,13330,0.23
47899,48227,47726,35720,0.57
52558,53938,52558,32759,2.27
30600,30693,30556,7600,0.23
85656,86171,85520,18913,0.76
26759,26965,26602,16270,-0.23
29287,29395,29059,21410,-0.03
88850,89000,88320,18484,0.09
71695,71696,71245,11520,0.07
27815,28033,27584,20580,0.17
26527,26601,26400,1050,-0.33
29666,29666,29490,5980,-0.17
47060,47845,47024,23580,1.39
30930,30961,30831,8840,-0.32
47047,47170,46800,12500,0.18
60390,60822,60151,14070,0.2
29905,30147,29783,11100,0.42
49240,49273,48951,37680,-0.19
33000,33142,32910,9430,0.21
59207,59320,59083,7720,0.07
39721,39888,39550,26620,0.11
51263,51390,51115,6570,0.46
26850,26900,26600,16510,-0.13
38240,38644,38240,13880,1.03
76265,76465,76011,11000,-0.26
31700,31768,31453,14480,-0.9
25630,26220,25630,29460,1.85
28683,28950,28628,7830,0.7
37003,37207,36621,27320,1.28
51568,51680,51315,11720,-0.21
47199,47286,47011,9430,-0.02
